dish_id,num_true,num_predicted,mean_uncertainty,max_uncertainty
dish_1564514953,15,138,0.030584473,0.04754444
dish_1559933834,22,122,0.038071692,0.05718234
dish_1563996441,9,131,0.062582545,0.08557419
dish_1558373284,1,115,0.032803275,0.047645584
dish_1564170098,2,130,0.031171057,0.04725731
dish_1560961179,1,116,0.027744615,0.040083762
dish_1562183125,14,120,0.038548056,0.064008705
dish_1563391708,18,119,0.023298454,0.034287315
dish_1560888930,18,111,0.022376988,0.03347517
dish_1559842274,1,130,0.027821174,0.04259138
