dish_id,num_true,num_predicted,num_correct,precision,recall,mean_uncertainty,max_uncertainty
dish_1564514953,15,17,15,0.8823529411764706,1.0,0.16558468341827393,0.22753924131393433
dish_1559933834,22,14,9,0.6428571428571429,0.4090909090909091,0.11752105504274368,0.23052923381328583
dish_1563996441,9,10,9,0.9,1.0,0.11998677253723145,0.25854775309562683
dish_1558373284,1,1,1,1.0,1.0,0.2247820496559143,0.2247820496559143
dish_1564170098,2,2,2,1.0,1.0,0.14787505567073822,0.1762566864490509
dish_1560961179,1,1,1,1.0,1.0,0.20162159204483032,0.20162159204483032
dish_1562183125,14,16,14,0.875,1.0,0.13189378380775452,0.23477976024150848
dish_1563391708,18,21,18,0.8571428571428571,1.0,0.13036535680294037,0.22300642728805542
dish_1560888930,18,16,13,0.8125,0.7222222222222222,0.12379386276006699,0.27310487627983093
dish_1559842274,1,1,1,1.0,1.0,0.03024616278707981,0.03024616278707981
dish_1561574815,17,16,16,1.0,0.9411764705882353,0.166768878698349,0.3181593418121338
dish_1568044528,3,4,3,0.75,1.0,0.11149676144123077,0.17918415367603302
dish_1560543682,1,5,1,0.2,1.0,0.17884734272956848,0.2273542284965515
dish_1559581333,12,13,10,0.7692307692307693,0.8333333333333334,0.15971562266349792,0.3950103223323822
dish_1564073860,1,2,1,0.5,1.0,0.10434411466121674,0.2047065943479538
dish_1564601470,1,0,0,0.0,0.0,0.0,0.0
dish_1568061097,1,1,1,1.0,1.0,0.007296546828001738,0.007296546828001738
dish_1559235771,2,3,2,0.6666666666666666,1.0,0.18854109942913055,0.20409870147705078
dish_1563217804,20,26,20,0.7692307692307693,1.0,0.13102954626083374,0.23565948009490967
dish_1558549806,3,2,2,1.0,0.6666666666666666,0.282569944858551,0.31472262740135193
